Топ - 100:
таблетка від головний біль , запитів 3
віник , запитів 3
рукав для запікання , запитів 3
пантенол , запитів 3
кипятильник , запитів 3
сіжка , запитів 3
річний , запитів 3
підтяжка , запитів 3
булавка , запитів 3
місце в команда на , запитів 3
атоксело , запитів 4
печивка , запитів 4
яйце , запитів 4
пензлик , запитів 4
запальничка , запитів 4
щось солоденький , запитів 4
листок а , запитів 4
теркий , запитів 4
кетчуп , запитів 4
знеболюючий , запитів 4
гітара , запитів 4
колдрекс , запитів 4
ват , запитів 4
свічка , запитів 4
німесила , запитів 4
насос , запитів 4
павербенк , запитів 4
снодійний , запитів 4
молочко , запитів 4
обезболюючий , запитів 4
яблуко , запитів 5
лак для волосся , запитів 5
анальгін , запитів 5
сірник , запитів 5
сіль , запитів 5
ношпа , запитів 5
ножиці , запитів 5
ручка , запитів 5
печиво , запитів 5
сметана , запитів 5
вугілля , запитів 5
латина , запитів 5
вага , запитів 5
сметанка , запитів 5
фольга , запитів 6
ваза , запитів 6
лом , запитів 6
їсти , запитів 6
ваніша , запитів 6
бинт , запитів 6
мівін , запитів 7
заспокійливий , запитів 7
окуляр , запитів 7
сода , запитів 7
степлер , запитів 7
маркер , запитів 7
штатив , запитів 7
принтер , запитів 7
рукавиця , запитів 7
порошок , запитів 7
відкривашка , запитів 8
ще , запитів 8
мівінок , запитів 8
рюкзак , запитів 8
фен , запитів 8
перехідник , запитів 8
штопор , запитів 9
колонка , запитів 9
cпирт , запитів 9
кава , запитів 9
їжа , запитів 9
термометр , запитів 9
знайомий , запитів 9
солодкий , запитів 10
коробка , запитів 10
нитка , запитів 10
викрутка , запитів 10
карта , запитів 10
пластир , запитів 11
ацетон , запитів 11
хлібчик , запитів 12
голка , запитів 12
флешка , запитів 13
вода , запитів 13
спальник , запитів 13
книжка , запитів 13
один , запитів 13
клей , запитів 14
суперклей , запитів 15
шосити , запитів 19
градусник , запитів 22
зарядний , запитів 24
номер , запитів 25
скотч , запитів 26
картка , запитів 26
грн , запитів 27
молоко , запитів 31
колегіум , запитів 32
зарядка , запитів 32
хліб , запитів 41


Висновки:
На основі цих даних можемо зробити висновок, що гострої потреби у відкритті
магазину на території нового колегіуму немає.
И основному просять побутові товари на позичання. Також просять їжу, а саме хліб,
молоко, солодке і тд. Але просять не настільки частно, щоб можна було робити
запити до дійсного будівництва магазину.
БО є сенс відкривати лише маленьку цілодобову крамничку із солодощами.
Але ці витрати не є релевантними, тому цього робити не треба.
